アイテム名,URL,フレーバーテキスト
"編集","https://kamikouryaku.net/eldenring/?cmd=edit&page=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"新規","https://kamikouryaku.net/eldenring/?plugin=newpage&refer=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"名前変更","https://kamikouryaku.net/eldenring/?plugin=rename&refer=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"添付","https://kamikouryaku.net/eldenring/?plugin=attachlist&pcmd=upload&page=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"一覧","https://kamikouryaku.net/eldenring/?cmd=list","（フレーバーテキストなし）"
"差分","https://kamikouryaku.net/eldenring/?cmd=diff&page=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"履歴","https://kamikouryaku.net/eldenring/?cmd=backup&page=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"凍結","https://kamikouryaku.net/eldenring/?cmd=freeze&page=%E9%81%93%E5%85%B7","（フレーバーテキストなし）"
"MenuBar","https://kamikouryaku.net/eldenring/?MenuBar","（フレーバーテキストなし）"
"コメント","https://kamikouryaku.net/eldenring/?%E3%82%B3%E3%83%A1%E3%83%B3%E3%83%88","（フレーバーテキストなし）"
"アップデート情報","https://kamikouryaku.net/eldenring/?%E3%82%A2%E3%83%83%E3%83%97%E3%83%87%E3%83%BC%E3%83%88%E6%83%85%E5%A0%B1","その他
不正なアイテムのアイテム名に[ERROR]というテキストを追加
※アップデートファイル1.04において、通常のゲームプレイでは入手することができない不正なアイテムを、他のプレイヤーに渡すことができる不具合を修正いたしました。
本アップデートファイル配信以降は、これらの不正なアイテムの使用や所持は随時、警告/ペナルティの対象となります。アップデートファイル1.04配信前にこれらのアイテムを他プレイヤーから受け取ってしまった場合は、インベントリのメニューから「破棄する」をおこなっていただきますよう、お願いいたします。"
