作品名,アイテムカテゴリ,アイテム名,フレーバーテキスト,取得先URL
"エルデンリング","道具","聖杯瓶","緋雫の聖杯瓶\n\nかつて恵みの雫を受領したという\n黄金の聖杯を模した瓶\n緋色の雫を満たし、使用によりHPを回復する\nまた、祝福で休むことで補充される\n墓地に流れ着き、ただ死んでいくはずの体は\nおそらく、これによって癒されたのだろう\nエルデンリングを求めるために\n\n\n青雫の聖杯瓶\n\nかつて恵みの雫を受領したという\n黄金の聖杯を模した瓶\n青色の雫を満たし、使用によりFPを回復する\nまた、祝福で休むことで補充される\n墓地に流れ着き、ただ死んでいくはずの体は\nおそらく、これによって癒されたのだろう\nエルデンリングを求めるために\n\n\n霊薬の聖杯瓶\n\n黄金樹の司祭たる霊薬師たちの遺物\n永き時の末に生じる、結晶雫の力を引き出すもの\n結晶雫の配合により、様々な特別な効果をもたらす\nまた、祝福で休むことで補充される\n狭間の各地、小黄金樹の麓には\n結晶雫を溜める水盆があるという","https://kamikouryaku.net/eldenring/?聖杯瓶"
"エルデンリング","道具","ルーンの弧","","https://kamikouryaku.net/eldenring/?ルーンの弧"
"エルデンリング","道具","星光の欠片","","https://kamikouryaku.net/eldenring/?星光の欠片"
"エルデンリング","道具","微睡の枝","","https://kamikouryaku.net/eldenring/?微睡の枝"
"エルデンリング","道具","霊馬の指笛","","https://kamikouryaku.net/eldenring/?霊馬の指笛"
"エルデンリング","道具","毒の苔薬","","https://kamikouryaku.net/eldenring/?毒の苔薬"
"エルデンリング","道具","火炎壺","","https://kamikouryaku.net/eldenring/?火炎壺"
"エルデンリング","道具","調香瓶","","https://kamikouryaku.net/eldenring/?調香瓶"
"エルデンリング","道具","遠眼鏡","","https://kamikouryaku.net/eldenring/?遠眼鏡"
"エルデンリング","道具","骨の投げ矢","","https://kamikouryaku.net/eldenring/?骨の投げ矢"
"ブラッドボーン","道具","血の水薬","","https://kamikouryaku.net/bloodborne/?血の水薬"
"ブラッドボーン","道具","水銀弾","","https://kamikouryaku.net/bloodborne/?水銀弾"
"ブラッドボーン","道具","火炎瓶","","https://kamikouryaku.net/bloodborne/?火炎瓶"
"ブラッドボーン","道具","骨髄の灰","","https://kamikouryaku.net/bloodborne/?骨髄の灰"
"ブラッドボーン","道具","輸血液","","https://kamikouryaku.net/bloodborne/?輸血液"
"ブラッドボーン","道具","鎮静剤","","https://kamikouryaku.net/bloodborne/?鎮静剤"
"ブラッドボーン","道具","解毒剤","","https://kamikouryaku.net/bloodborne/?解毒剤"
"ブラッドボーン","道具","狩人の印","","https://kamikouryaku.net/bloodborne/?狩人の印"
"ブラッドボーン","道具","小さな共鳴鐘","","https://kamikouryaku.net/bloodborne/?小さな共鳴鐘"
"ブラッドボーン","道具","音楽箱","","https://kamikouryaku.net/bloodborne/?音楽箱"
